epocas,batch,optimizador,callbacks,red,mae
50,16,SGD,0,0,1.5404592752456665
50,16,SGD,0,1,1.2370294332504272
50,16,SGD,0,2,1.3311930894851685
50,16,SGD,0,3,1.204373836517334
50,16,SGD,0,4,1.1793736219406128
50,16,SGD,0,5,1.161118507385254
50,16,SGD,0,6,1.2526460886001587
50,16,SGD,1,0,1.1882193088531494
50,16,SGD,1,1,1.1450213193893433
50,16,SGD,1,2,1.1986953020095825
50,16,SGD,1,3,1.2290133237838745
50,16,SGD,1,4,1.2276337146759033
50,16,SGD,1,5,1.208337664604187
50,16,SGD,1,6,1.223253607749939
50,16,adam,0,0,1.2193502187728882
50,16,adam,0,1,1.302681565284729
50,16,adam,0,2,1.3691776990890503
50,16,adam,0,3,1.286096215248108
50,16,adam,0,4,1.1861048936843872
50,16,adam,0,5,1.28570556640625
50,16,adam,0,6,1.1712573766708374
50,16,adam,1,0,1.1403167247772217
50,16,adam,1,1,1.1724086999893188
50,16,adam,1,2,1.1873070001602173
50,16,adam,1,3,1.1930369138717651
50,16,adam,1,4,1.187330722808838
50,16,adam,1,5,1.1716341972351074
50,16,adam,1,6,1.2106053829193115
50,48,SGD,0,0,1.189832329750061
50,48,SGD,0,1,1.1844027042388916
50,48,SGD,0,2,1.1631361246109009
50,48,SGD,0,3,1.300379991531372
50,48,SGD,0,4,1.1928753852844238
50,48,SGD,0,5,1.1502399444580078
50,48,SGD,0,6,1.3431257009506226
50,48,SGD,1,0,1.273955225944519
50,48,SGD,1,1,1.1852349042892456
50,48,SGD,1,2,1.1851292848587036
50,48,SGD,1,3,1.239909291267395
50,48,SGD,1,4,1.2062708139419556
50,48,SGD,1,5,1.260819435119629
50,48,SGD,1,6,1.1821976900100708
50,48,adam,0,0,1.160405158996582
50,48,adam,0,1,1.2300505638122559
50,48,adam,0,2,1.2153266668319702
50,48,adam,0,3,1.1362175941467285
50,48,adam,0,4,1.2570267915725708
50,48,adam,0,5,1.236466884613037
50,48,adam,0,6,1.314536213874817
50,48,adam,1,0,1.1864639520645142
50,48,adam,1,1,1.1811898946762085
50,48,adam,1,2,1.1637297868728638
50,48,adam,1,3,1.2198750972747803
50,48,adam,1,4,1.181575894355774
50,48,adam,1,5,1.2021920680999756
50,48,adam,1,6,1.3401397466659546
80,16,SGD,0,0,1.2275910377502441
80,16,SGD,0,1,1.288374423980713
80,16,SGD,0,2,1.1976910829544067
80,16,SGD,0,3,1.3777275085449219
80,16,SGD,0,4,1.17939293384552
80,16,SGD,0,5,1.1803267002105713
80,16,SGD,0,6,1.3647527694702148
80,16,SGD,1,0,1.1647568941116333
80,16,SGD,1,1,1.1892019510269165
80,16,SGD,1,2,1.1529606580734253
80,16,SGD,1,3,1.1722471714019775
80,16,SGD,1,4,1.1618084907531738
80,16,SGD,1,5,1.1604609489440918
80,16,SGD,1,6,1.1892352104187012
80,16,adam,0,0,1.2451355457305908
80,16,adam,0,1,1.447295904159546
80,16,adam,0,2,1.192994475364685
80,16,adam,0,3,1.1741204261779785
80,16,adam,0,4,1.3259543180465698
80,16,adam,0,5,1.2955360412597656
80,16,adam,0,6,1.5512621402740479
80,16,adam,1,0,1.1907292604446411
80,16,adam,1,1,1.196158766746521
80,16,adam,1,2,1.1646324396133423
80,16,adam,1,3,1.1703271865844727
80,16,adam,1,4,1.2289217710494995
80,16,adam,1,5,1.1628141403198242
80,16,adam,1,6,1.2110966444015503
80,48,SGD,0,0,1.2990742921829224
80,48,SGD,0,1,1.2661941051483154
80,48,SGD,0,2,1.186797857284546
80,48,SGD,0,3,1.1648293733596802
80,48,SGD,0,4,1.2892606258392334
80,48,SGD,0,5,1.2161643505096436
80,48,SGD,0,6,1.182915210723877
80,48,SGD,1,0,1.1784791946411133
80,48,SGD,1,1,1.2418875694274902
80,48,SGD,1,2,1.2183431386947632
80,48,SGD,1,3,1.1382776498794556
80,48,SGD,1,4,1.1365233659744263
80,48,SGD,1,5,1.1855597496032715
80,48,SGD,1,6,1.281401515007019
80,48,adam,0,0,1.1881132125854492
80,48,adam,0,1,1.3221379518508911
80,48,adam,0,2,1.378103494644165
80,48,adam,0,3,1.178419589996338
80,48,adam,0,4,1.1152160167694092
80,48,adam,0,5,1.4008530378341675
80,48,adam,0,6,1.2809823751449585
80,48,adam,1,0,1.205348253250122
80,48,adam,1,1,1.165818691253662
80,48,adam,1,2,1.1986039876937866
80,48,adam,1,3,1.1345124244689941
80,48,adam,1,4,1.2102731466293335
80,48,adam,1,5,1.2030463218688965
80,48,adam,1,6,1.1805520057678223
